t,J1,J2,J3,J4,J5,J6,GL,GR
0.004000,0.000197,-0.011017,0.017811,0.008701,-0.011674,0.013286,0.000078,0.000047
0.008000,0.000288,-0.026641,0.039544,0.017917,-0.022705,0.027144,0.000166,0.000141
0.012000,0.000319,-0.044334,0.061814,0.026969,-0.033081,0.040733,0.000258,0.000249
0.016000,0.000309,-0.063034,0.083563,0.035808,-0.043201,0.054003,0.000358,0.000369
0.020000,0.000271,-0.082262,0.104456,0.044436,-0.053197,0.066957,0.000467,0.000498
0.024000,0.000215,-0.101773,0.124432,0.052859,-0.063114,0.079603,0.000583,0.000631
0.028000,0.000150,-0.121418,0.143518,0.061080,-0.072954,0.091948,0.000705,0.000763
0.032000,0.000079,-0.141096,0.161769,0.069107,-0.082706,0.104000,0.000831,0.000889
0.036000,0.000001,-0.160733,0.179244,0.076942,-0.092356,0.115766,0.000960,0.001008
0.040000,-0.000090,-0.180266,0.195999,0.084591,-0.101888,0.127252,0.001092,0.001120
0.044000,-0.000189,-0.199647,0.212085,0.092058,-0.111289,0.138465,0.001225,0.001219
0.048000,-0.000291,-0.218834,0.227548,0.099346,-0.120550,0.149412,0.001359,0.001302
0.052000,-0.000393,-0.237794,0.242428,0.106461,-0.129661,0.160099,0.001492,0.001370
0.056000,-0.000493,-0.256499,0.256762,0.113406,-0.138617,0.170533,0.001625,0.001420
0.060000,-0.000589,-0.274926,0.270583,0.120185,-0.147413,0.180718,0.001761,0.001452
0.064000,-0.000680,-0.293056,0.283920,0.126802,-0.156046,0.190662,0.001901,0.001466
0.068000,-0.000766,-0.310874,0.296801,0.133261,-0.164513,0.200370,0.002048,0.001464
0.072000,-0.000846,-0.328368,0.309249,0.139566,-0.172813,0.209848,0.002202,0.001445
0.076000,-0.000920,-0.345529,0.321287,0.145719,-0.180945,0.219100,0.002363,0.001410
0.080000,-0.000988,-0.362351,0.332936,0.151725,-0.188910,0.228132,0.002531,0.001361
0.084000,-0.001051,-0.378827,0.344214,0.157587,-0.196708,0.236951,0.002707,0.001300
0.088000,-0.001109,-0.394956,0.355138,0.163309,-0.204340,0.245559,0.002888,0.001231
0.092000,-0.001162,-0.410735,0.365724,0.168893,-0.211807,0.253964,0.003076,0.001155
0.096000,-0.001211,-0.426164,0.375987,0.174343,-0.219110,0.262168,0.003269,0.001075
